0.687 3.0581 1.083 9.63 0.01017
1.668 2.6969 1.121 20.44 0.01059
2.649 2.3673 1.155 29.7 0.01101
3.63 2.0782 1.185 38.78 0.01144
4.611 1.8384 1.212 48.3 0.01186
5.592 1.6522 1.235 58.03 0.01229
6.573 1.5411 1.255 66.97 0.01273
7.5 1.5001 1.270 73.1 0.01316
